날짜,제목,내용
 2023.01.18 16:58,"고영, 작년 영업이익 442억…6.9% 증가",			 [이데일리 원다연 기자] 고영(098460)은 연결기준 지난해 영업이익이 441억 8900만원으로 전년동기대비 6.9% 증가했다고 18일 공시했다. 작년 매출액은 2749억 6200만원으로 같은기간 11.2% 증가했다.
 2023.01.18 16:13,"고영, 작년 영업익 442억…전년比 6.9%↑","			 [서울=뉴시스] 신항섭 기자 = 고영테크놀로지는 연결재무제표 기준 지난해 영업이익이 442억원을 기록해 전년대비 6.9% 증가했다고 18일 공시했다. 같은 기간 매출액은 2750억원으로 전년대비 11.2% 증가했다.4분기 영업이익은 112억원으로 전년 동기 대비 12.1% 늘었고, 매출액은 16.6% 증가한 693억원으로 집계됐다. "
 2023.01.18 16:00,"고영, 4분기 영업익 112억…전년비 12.1% ↑",			 [헤럴드경제=증권부] 고영테크놀러지는 4분기 연결기준 영업이익이 112억2400만원으로 전년동기대비 12.1% 증가했다고 18일 공시했다.같은 기간 매출액은 692억6000만원으로 16.6% 늘어난 것으로 잠정 집계됐다.
 2023.01.11 10:32,"고영, 18일 기업설명회 개최",			 [서울=뉴시스] 박은비 기자 = 고영은 오는 18일 오후 8시 국내외 증권사 애널리스트를 대상으로 최근 경영실적에 대해 설명하는 기업설명회(IR)를 개최한다고 11일 공시했다. 
 2023.01.02 08:10,"[클릭 e종목]“고영, 글로벌 공급망 생산 거점 재구축 수혜”","			  하이투자증권은 2일 고영에 대해 글로벌 공급망의 생산 거점 재구축 수혜가 기대된다고 분석했다. 목표주가는 1만8000원을 유지했다.이상헌 하이투자증권 연구원은 이날 보고서에서 “코로나19로 글로벌 공급망 혼란이 야기되면서 특정 국가에 집중된 생산거점이 이동하기 시작했다”며 “러시아의 우크라이나 침공으로 촉발된 지정학적 위기로 안보이슈가 부각되면서 글로벌 공급망의 탈세계화가 가속화되고 있다”고 분석했다.실제 미국은 인플레이션 감축법(IRA) 등을 통해 중국에 집중돼있던 반도체, 이차전지, 주요 광물, 바이오 등의 산업 글로벌 공급망을 재편하고 있다. 이에 특정 국가에 집중되었던 생산거점이 산업별로 특화된 국가로 다원화되면서 생산거점 재배치에 대한 투자 등이 확대되고 있다.이상헌 연구원은 “고영의 지난해 연결 기준 매출액과 영업이익은 각각 2762억원, 440억원으로 전년 동기 대비 11.7%, 6.3% 증가할 것”이라며 “이는 지난해 중국 락다운 영향에도 불구하고 북미지역에서 생산거점 재배치가 본격화됨에 따라 3D 검사장비 수요가 큰 폭으로 증가되면서 자동차 전장향 매출증가가 예상되기 때문”이라고 전망했다.이어 그는 “무엇보다 최근 글로벌 경기침체 현실화로 전방 투자가 위축되는 상황이 불가피할 것으로 예상되지만 글로벌 공급망 탈세계화로 생산거점 재구축에 대한 투자가 본격화 될 것으로 기대된다”고 밝혔다.이에 따라 고영의 3D 검사장비의 수요 확대로 이어지면서 올해 매출 성장의 원동력이 될 것으로 전망된다. 특히 글로벌 EMS 및 자동차전장 고객사로부터의 생산거점 재배치에 따른 스마트팩토리 솔루션(KSMART) 수요도 확대될 수 있을 것으로 분석된다.또 의료용 로봇 성장성도 가속화 될 전망이다. 고영은 3D 측정검사 기술을 기반으로 한 뇌수술용 의료로봇인 카이메로를 개발했다. 2016년 말 식품의약품안전처로부터 카이메로에 대한 제조 및 판매허가를 승인 받았으며 이후 2년간 국내 병원에서 임상 시험을 마쳤다.그는 “올해의 경우 2대 이상의 뇌수술용 의료로봇 판매가 가능할 것”이라며 “국내 대형병원 판매확대를 통해 트랙 레코드를 쌓은 후 올해 하반기에 미국 식품의약국(FDA) 임상을 추진할 것으로 예상된다”고 밝혔다.이어 “이에 따라 내년에 미국 FDA 승인을 획득해 미국 의료로봇 시장에 본격적으로 진출할 계획으로 의료용 로봇의 성장성 등이 가속화 될 것”이라고 덧붙였다."
 2023.01.02 08:05,"고영, 글로벌 공급망 재구축 수혜…북미 매출 증가-하이","			 [이데일리 김응태 기자] 하이투자증권은 2일 고영(098460)에 대해 글로벌 공급망 탈세계화로 생산 거점 재배치에 대한 투자 확대가 본격화하면서 북미 지역 매출이 증가할 것으로 전망했다. 이에 투자의견 ‘매수’, 목표주가 1만8000원을 유지했다. 상승여력은 41.2%이며, 전거래일 종가는 1만2750원이다. 이상헌 하이투자증권 연구원은 “고영의 지난해 연결기준 매출액은 전년 대비 11.75% 증가한 2762억원, 영업이익은 6.3% 늘어난 440억원으로 예상된다”며 “이는 지난해 중국 락다운 영향에도 불구하고 북미지역 생산거점 재배치가 본격화함에 따라 3D 검사장비 수요가 큰 폭으로 증가하면서 자동차 전장향 매출 증가가 예상되기 때문”이라고 진단했다.최근 글로벌 경기 침체 현실화로 전방 투자가 위축되는 상황이 불가피하지만, 글로벌 공급망 탈세계화로 생산거점 재구축에 대한 투자가 전개되면서 수혜를 입을 것으로 봤다. 미국은 중국을 견제하기 위해 반도체, 2차전지, 주요 광물 등 주요 산업 중심으로 글로벌 공급망을 재편하고 있다. 특히 인플레이션 감축법(IRA) 등을 통해 중장기 미국 내 제조 역량 제고를 추진 중이다. 특정 국가에 집중됐던 생산 거점이 산업별로 특화된 국가로 다원화하면서 고영의 3D 검사장비 수요 확대로 이어질 것이란 분석이다. 특히 글로벌 에너지관리시스템(EMS) 및 자동차 전장 고객사로부터 생산 거점 재배치에 따른 스마트팩토리 솔루션 수요도 확대될 것으로 점쳤다. 의료용 로봇 성장성도 가속화할 것으로 전망했다. 고영은 3D 측정검사 기술을 기반으로 한 뇌수술용 의료로봇 ‘카이메로’를 개발했다. 이미 국내에서 세브란스병원, 삼성서울병원 등에 카이메로를 공급했으며, 향후 뇌수술 외에 다른 신경외과 수술로도 적용범위를 확장한다는 구상이다. 올해는 2대 이상의 로봇 판매가 가능할 것으로 예상했다. 이 연구원은 “국내 대형병원 판매 확대를 통해 트랙 레코드를 쌓은 이후, 올해 하반기에 미국 식품의약국(FDA) 임상을 추진할 것으로 예상된다”며 “내년에 FDA 승인을 획득해 미국 의료 로봇 시장에 본격적으로 진출할 계획으로 의료용 로봇의 성장성 등이 가속화될 것”이라고 밝혔다."
 2022.10.21 15:46,"고영테크놀러지, 25일 기업설명회",			 [서울=뉴시스]신항섭 기자 = 고영테크놀러지은 오는 25일 국내 기관투자자를 대상으로 기업설명회를 진행한다고 21일 공시했다. 
 2022.10.17 16:38,"고영, 3분기 영업익 117억…전년비 13% 증가",			 [이데일리 양지윤 기자] 고영(098460)은 3분기 연결기준 영업이익이 116억8800만원으로 전년 동기보다 12.8% 증가했다고 공시했다. 같은 기간 매출액은 722억원으로 16.6% 늘었다.
 2022.10.13 15:10,"고영, 18일부터 이틀간 IR 개최",			 [이데일리 김보겸 기자] 고영(098460)은 이달 18일부터 19일까지 국내 기관투자자를 대상으로 기업설명회(IR)를 개최한다고 13일 공시했다. 최근 경영실적 및 질의응답 시간을 가질 예정이다.
 2022.10.13 14:43,"고영테크놀러지, 18~19일 기업설명회 개최",			 [서울=뉴시스] 최현호 기자 = 고영테크놀러지는 오는 18일부터 19일까지 이틀 간 국내 기관투자자를 대상으로 1대1 미팅 방식을 통해 기업설명회(IR)를 개최한다고 13일 공시했다. 
 2022.10.12 10:50,"고영, 17일 기업설명회 개최",			 [서울=뉴시스] 김경택 기자 = 고영은 경영실적 설명을 위해 오는 17일 국내외 증권사 애널리스트를 대상으로 컨퍼런스콜 기업설명회를 개최한다고 12일 공시했다. 
 2022.07.26 17:28,"고영, 100억 규모 자기주식 취득 신탁계약","			 [이데일리 양지윤 기자] 고영(098460)은 신한금융투자와 100억원 규모의 자기주식 취득 신탁계약을 체결했다고 26일 공시했다. 회사 측은 계약 목적에 대해 “스톡 그랜트 재원 확보, 주가 안정, 주주가치 제고 취지”라고 설명했다.계약기간은 이날부터 2023년 1월25일 까지다."
 2022.07.19 13:40,"고영테크놀러지, 21일 기업설명회 개최",			 [서울=뉴시스]신항섭 기자 = 고영테크놀러지는 오는 21일 서울 여의도에서 국내 기관투자자를 대상으로 기업설명회를 진행한다고 19일 공시했다. 
